	ID SoloTodo	Categoría	ID Categoría	Subcategoría	Ordenamiento Principal	Ordenamiento Categoría	Modelo	Título personalizado	Descripción personalizada	Ficha personalizada 1	Ficha personalizada 2	Ficha personalizada 3	Foto Principal	Fotos Secundarias	URL LG	MPN Flixmedia
CJ45	36116	Audio	25	Minicomponente		2	CJ45	XBOOM 720W					https://drive.google.com/open?id=1MxRM8DAjMejL8eMfts2yipyOoIvcReds	https://drive.google.com/open?id=1WiHEUgAuFQLj6fcxK56erDBDJR_TcUb9	https://www.lg.com/cl/equipos-de-musica/lg-CJ45	CJ45
CJ87	36115	Audio	25	Minicomponente			CJ87	XBOOM 2350W	2350W de potencia,efectos de luces y sonidos,graba samplers y reproducelos en tus canciones, múltiples efectos DJ, comparte tus mezclas, Karaoke con efectos de voz				https://drive.google.com/open?id=1yUq0TUxnleSO7xb8kn1pyv-T7pyoqSid	https://drive.google.com/open?id=1QuTIhRPyqH4V7tgihJ9tbunZkvNqwKjV	https://www.lg.com/cl/equipos-de-musica/lg-CJ87	CJ87
CJ88	36117	Audio	25	Minicomponente			CJ88	XBOOM 2900W	2900W de potencia, 3 dispositivos de Bluettoth conectados al mismo tiempo,múltiples funciones de DJ, Karaoke, sincronizalo con tu TV LG mediante Bluetooth				https://drive.google.com/open?id=1g9sPIx-wzur1vRXjEHKDv4Qx9iWws8X2	https://drive.google.com/open?id=1a-dKIGdvN7d7fmyptr55vVD7XjoolwEq	https://www.lg.com/cl/equipos-de-musica/lg-CJ88	CJ88
CJ98	36118	Audio	25	Minicomponente			CJ98	XBOOM 3500W					https://drive.google.com/open?id=1MVgC1wgJUk-suv0r3gXFHZAVbwpRmHxS	https://drive.google.com/open?id=1TLRMsY-KKvzwrfDLgdU7S2IjNRImsurH	https://www.lg.com/cl/equipos-de-musica/lg-CJ98	CJ98
CK43	47681	Audio	25	Minicomponente			CK43	Minicomponente 300W					https://drive.google.com/open?id=1YR0wxjoA6PFokWUWa_Ccx_j5XAsvt8ZX	https://drive.google.com/open?id=1AM2Qc-g6UT1YHPWv3wwBQ_lLTwEQqYvo	https://www.lg.com/cl/equipos-de-musica/lg-CK43	CK43
CK99	46490	Audio	25	Minicomponente			CK99	XBOOM 5000W					https://drive.google.com/open?id=1DIZoGbpvi1kkmt7OZO5qiFq9jaWuLgnC	https://drive.google.com/open?id=1h4BbRC9g5eXWFyHdq-XaMMBFJwII_jtJ	https://www.lg.com/cl/equipos-de-musica/lg-CK99	CK99
CM1560	42843	Audio	25	Microcomponente			CM1560	Minicomponente 10W	Bluetooth, 10W de potencia, entrada USB, reproductor de CD				https://drive.google.com/open?id=1vgGz_uHybPSYlgxC_Ap6jwkqsF3tRDzK		https://www.lg.com/cl/equipos-de-musica/lg-CM1560	CM1560
CM2460	42844	Audio	25	Microcomponente			CM2460	Minicomponente 100W	100W de potencia, conexión Bluetooth y puerto USB, sincronización inalámbrica con tu TV LG				https://drive.google.com/open?id=1GwnZdSdagnMzK4Ld_CT_aN3_a8dt8BEk		https://www.lg.com/cl/equipos-de-musica/lg-CM2460	CM2460
CM4350	19653	Audio	25	Minicomponente			CM4350	Minicomponente 260W					https://drive.google.com/open?id=1mTHssYZ0wmgruCVzTczODaprJpKZQOhu	https://drive.google.com/open?id=1--wUfAS7yEIVUfQsezO0RbO9L45NrS1s	https://www.lg.com/cl/equipos-de-musica/lg-CM4350	CM4350
CM9960	25904	Audio	25	Minicomponente			CM9960	Minicomponente 4800W					https://drive.google.com/open?id=1iOosZeOCv8kHLwxEl7QLWJKHCyAZTMBo	https://drive.google.com/open?id=1TAf2PmXfKr1iDMcmMLHmYosm2MsSPMlY	https://www.lg.com/cl/equipos-de-musica/lg-CM9960	CM9960
FH2	36830	Audio	25	Parlante portátil			FH2	XBOOM 50W					https://drive.google.com/open?id=1HFyZkGNUJwUHLzJdIeDXZCLbcGZvXEsf	https://drive.google.com/open?id=1NjLXmiJ9ohTsfuryRlj82wC08ZAcregS	https://www.lg.com/cl/equipos-de-musica/lg-FH2	FH2
FJ7	41125	Audio	25	Minicomponente			FJ7	Minicomponente 400W	400W de potencia, Auto DJ, Karaoke con efectos de voz, hasta 3 dispositivos conectados simultáneamente por Bluetooth				https://drive.google.com/open?id=1NKHfIdUMgo2s5Hh5i9E4IYfxIrvQayK4	https://drive.google.com/open?id=1WUPD_iT4j5sKLbSDrEGWqFSuE34hxM5u		FJ7
SK8	46690	Audio	25	Soundbar			SK8	SoundBar 360W					https://drive.google.com/open?id=1q6a_dXgGaP1JlFELOk4l2Dv5cf4veOOu	https://drive.google.com/open?id=1hcNDliEpshOja0Tai9BanahjDMLRIW-1	https://www.lg.com/cl/audio-hi-fi/lg-SK8	SK8
LHB625M	21324	Audio	25	Home theater			LHB625M	Home Theater 1000W							https://www.lg.com/cl/home-theater/lg-LHB625M	LHB625M
OJ98	36119	Audio	25	Minicomponente			OJ98	Minicomponente One Body Portátil 1800W	1800W de potencia, efecto de luces y sonido, múltiples funciones de DJ, Karaoke con efectos de voces, hasta 3 dispositivos conectados simultáneamente por Bluetooth				https://drive.google.com/open?id=1hW7rF_TlqBCWAp0sX42tB-YGzmLuGPE7	https://drive.google.com/open?id=1c3paihvkl3tGFBCAHOpHMS_kQVkx2-fp	https://www.lg.com/cl/equipos-de-musica/lg-OJ98	OJ98
OK55	45942	Audio	25	Minicomponente		1	OK55	XBOOM 500W					https://drive.google.com/open?id=1jowIEU-MlZzkyQDuGTtrrMrdGQ36fp1G	https://drive.google.com/open?id=1jZy-7dPCIJUArL5zV29hS7c4C2iJCHAO	https://www.lg.com/cl/equipos-de-musica/lg-OK55	OK55
OK75	45944	Audio	25	Minicomponente		3	OK75	Minicomponente 1000W					https://drive.google.com/open?id=1mG2mF7vkpqNrpEtjyu2fwpYKa_2whf6D	https://drive.google.com/open?id=1jztbxByGBtBQmxiuPfvgDcPrIuKsSGum	https://www.lg.com/cl/equipos-de-musica/lg-OK75	OK75
OK99	45946	Audio	25	Minicomponente	8		OK99	XBOOM 1800W					https://drive.google.com/open?id=1YCc64wxB0HDddkA1DdNcaVHTMBygQZSc	https://drive.google.com/open?id=1W_n_C-yKJ95s38N-MM2CRjKaf-XkKIes	https://www.lg.com/cl/equipos-de-musica/lg-OK99	OK99
OM4560	25747	Audio	25	Minicomponente			OM4560	Mini Audio 220W	220W de potencia, Auto DJ, sincronizalo con tu TV LG mediante Bluetooth, Karaoke				https://drive.google.com/open?id=1ofROlAJXVvWdYi0NJ53AiZ-UPcF6mEiO	https://drive.google.com/open?id=18hphxIOcmBnqe2Dry0udwxsHJQfAXYDs	https://www.lg.com/cl/equipos-de-musica/lg-OM4560	OM4560
OM5560	26015	Audio	25	Minicomponente			OM5560	XBOOM 500W					https://drive.google.com/open?id=1kfZphdfFdKQ-i-Cgriim0y3fmDCbG038	https://drive.google.com/open?id=10F9WcT6mG0DQV2gcaSgqAlPByq3Bj2zg	https://www.lg.com/cl/equipos-de-musica/lg-OM5560	OM5560
OM7560	25905	Audio	25	Minicomponente			OM7560	Minicomponente One Body 1000W	Fiesta sin cables, 1000W de potencia, hasta 3 dispositivos conectados simultáneamente por Bluetooth, Auto Music Play				https://drive.google.com/open?id=1RPmJDPLvv7ts9KfCQOquitHl_4MaZprP	https://drive.google.com/open?id=1gFaZUeaTBSI8Mw1tkVVscAxnSQPtX-Bd	https://www.lg.com/cl/equipos-de-musica/lg-OM7560	OM7560
PK3	48266	Audio	25	Parlante portátil			XBOOM GO PK3	Parlante Bluetooth Portátil		Sonido de alta definición	IPX7 resistente al agua (sumergible)	Batería de larga duración 12 hrs	https://drive.google.com/open?id=1tNNkdHI1NdAdI8IcFAca_YfTpn9_cslK	https://drive.google.com/open?id=1lt6MYuY5p3B-pMSbWPZWKtnis0dwTKp8	https://www.lg.com/cl/audio-hi-fi/lg-PK3	PK3
PK5	48003	Audio	25	Parlante portátil			XBOOM GO PK5	Parlante Bluetooth Portátil		Sonido de alta definición	IPX5 Salpicaduras de agua y polvo	Batería de larga duración 18 hrs	https://drive.google.com/open?id=1zFvNOcdBpIw8EaNnNBFoMFK5cj5Bna-t	https://drive.google.com/open?id=1qCj_5UY_DKVhRHOMlOgZds861f6YPDC-	https://www.lg.com/cl/audio-hi-fi/lg-PK5	PK5
PK7	48267	Audio	25	Parlante portátil			XBOOM GO PK7	Parlante Bluetooth Portátil		Sonido de alta definición	IPX5 Salpicaduras de agua y polvo	Batería de larga duración 22 hrs	https://drive.google.com/open?id=15idDA1RjiBYtfkQuP3Vi8dM5TLouFaat	https://drive.google.com/open?id=1-lknhyc_f5IPmcC-i4Hyc6DqHJB05Yw5	https://www.lg.com/cl/audio-hi-fi/lg-PK7	PK7
SJ1	40380	Audio	25	Soundbar			SJ1	SoundBar HI-FI 40W	Diseño delgado y minimalista, radiador pasivo dual, contrólalo con tu control remoto LG				https://drive.google.com/open?id=1kDy8fOQdZ-zNV3hDkMaXtkKci4O5-Q1X	https://drive.google.com/open?id=1VpL4B8JIphGL4qx0Q2PaoHmimjSu9_oS	https://www.lg.com/cl/audio-hi-fi/lg-SJ1	SJ1
SJ2	39255	Audio	25	Soundbar			SJ2	SoundBar HI-FI 160W	Subwoofer inalámbrico, contrólalo con tu control remoto LG				https://drive.google.com/open?id=1QVKoYNRDuuKzGHgWvUzgpB5WoRtplEaa	https://drive.google.com/open?id=1pMvZZYPSIeIrgquMz8qMuchfjQEYO9Z_	https://www.lg.com/cl/audio-hi-fi/lg-SJ2	SJ2
SK1	48004	Audio	25	Soundbar			SK1	SoundBar 40W					https://drive.google.com/open?id=1RWXyD9LWzK48NfvBpiXdJor1LD8A93D8	https://drive.google.com/open?id=1kRK7LvoDK39ndWIl1yOq6pk2UUs6uwTu	https://www.lg.com/cl/audio-hi-fi/lg-SK1	SK1
SK5	47017	Audio	25	Soundbar			SK5	SoundBar 360W					https://drive.google.com/open?id=1TEt_4j0Gg7RXq73jyELcKfJxmulCm5su	https://drive.google.com/open?id=1b5h1lmlnyF1_KVdd0QR3gpnw1Rw1eYcl	https://www.lg.com/cl/audio-hi-fi/lg-SK5	SK5
PH4	37302	Audio	25	Parlante portátil			PH4	Proyector portátil de tiro corto 					https://drive.google.com/open?id=15QOLrVgUk0l1s0yOmohSP5S60nkyC9IT	https://drive.google.com/open?id=0B8k1gHzTJbejTWtUMXZDNFFEbTQ	http://www.lg.com/cl/audio-hi-fi/lg-PH4	PH4
CK57	45941	Audio	25	Minicomponente											https://www.lg.com/cl/equipos-de-musica/lg-CK57	
G7 (Black)	48268	Celulares	6	Smartphone		1	G7 BLACK	Smartphone FullVision 6,1" QHD					https://drive.google.com/open?id=1gBE1XD25vhfA-IzHRM-ar74npCBoziJD	https://drive.google.com/open?id=1jraVMeQPAtJ9xm0FW-_1mMVaoVRliNjO	https://www.lg.com/cl/celular/lg-LMG710EM	
G7 (Platinum)	48269	Celulares	6	Smartphone		2	G7 PLATINUM	Smartphone FullVision 6,1" QHD					https://drive.google.com/open?id=1Eu2r3SZUpc8qeXLuiJBlUk05NDp9Ntrd	https://drive.google.com/open?id=19O1lHdEc2nH2-fR0fayooQ0igsDfepVS	https://www.lg.com/cl/celular/lg-LMG710EM	
G7 (Rose)	48270	Celulares	6	Smartphone		3	G7 ROSE	Smartphone FullVision 6,1" QHD					https://drive.google.com/open?id=16sdUo7M78CqYJWA1RM-7dHRWF69zmn6F	https://drive.google.com/open?id=1KXNowMFvJFcY4vDZxqAIZB_5kn-de7-r	https://www.lg.com/cl/celular/lg-LMG710EM	
